Name,Role,Site,Phone,Email,Shift,Notes
Mrs. Tammy Gordon,Boating Instructor,Heron Landing,(555) 020-2725,mrs.gordon@kvlcamps.org,Overnight,
John Klein,Boating Instructor,Corrigwell,(555) 074-1882,john.klein@kvlcamps.org,Overnight,
Luke Williams,Swim Instructor,Corrigwell,(555) 085-1221,luke.williams@kvlcamps.org,Overnight,
Sabrina Martin,Swim Instructor,Heron Landing,(555) 091-4035,sabrina.martin@kvlcamps.org,Overnight,
Jordan Travis,Waterfront Director,Tamarack Ridge,(555) 033-6050,jordan.travis@kvlcamps.org,Overnight,
Kathryn Bell,Waterfront Director,Loon Hollow,(555) 059-1837,kathryn.bell@kvlcamps.org,Day,
Jacqueline Harrison,Shift Supervisor,Tamarack Ridge,(555) 098-8941,jacqueline.harrison@kvlcamps.org,Day,
Eugene Acosta,Lifeguard,Loon Hollow,(555) 033-7179,eugene.acosta@kvlcamps.org,Day,
Justin Martinez,Swim Instructor,Loon Hollow,(555) 046-2957,justin.martinez@kvlcamps.org,Overnight,
Barbara Pennington,Lifeguard,Loon Hollow,(555) 027-4791,barbara.pennington@kvlcamps.org,Overnight,
Nathan Edwards,Boating Instructor,Heron Landing,(555) 030-5355,nathan.edwards@kvlcamps.org,Overnight,
Kristin Hansen,Boating Instructor,Corrigwell,(555) 050-6899,kristin.hansen@kvlcamps.org,Overnight,
Lisa Simmons,Waterfront Director,Otter Run,(555) 060-7779,lisa.simmons@kvlcamps.org,Day,
April Sandoval,Swim Instructor,Bluegill Point,(555) 071-9583,april.sandoval@kvlcamps.org,Overnight,
Melissa Brown,Swim Instructor,Bluegill Point,(555) 026-6965,melissa.brown@kvlcamps.org,Day,
Veronica Becker,Swim Instructor,Bluegill Point,(555) 078-6487,veronica.becker@kvlcamps.org,Overnight,
Karen Wood,Swim Instructor,Loon Hollow,(555) 078-5030,karen.wood@kvlcamps.org,Day,
Monica Bradley,Boating Instructor,Bluegill Point,(555) 068-5932,monica.bradley@kvlcamps.org,Overnight,
Maria Lane,Shift Supervisor,Corrigwell,(555) 083-7556,maria.lane@kvlcamps.org,Overnight,
Kevin Sanchez,Swim Instructor,Heron Landing,(555) 077-7657,kevin.sanchez@kvlcamps.org,Day,
Jason Walters,Swim Instructor,Otter Run,(555) 023-3315,jason.walters@kvlcamps.org,Overnight,
John Parker,Waterfront Director,Loon Hollow,(555) 031-3475,john.parker@kvlcamps.org,Day,
Teresa Bell,Lifeguard,Tamarack Ridge,(555) 065-8502,teresa.bell@kvlcamps.org,Day,
Hayley Price,Waterfront Director,Bluegill Point,(555) 016-2493,hayley.price@kvlcamps.org,Overnight,
Tara Burns,Swim Instructor,Otter Run,(555) 042-7418,tara.burns@kvlcamps.org,Overnight,
Michael Mitchell,Lifeguard,Otter Run,(555) 019-4751,michael.mitchell@kvlcamps.org,Day,
James Preston,Swim Instructor,Otter Run,(555) 073-5750,james.preston@kvlcamps.org,Overnight,
Robert Vaughn,Shift Supervisor,Loon Hollow,(555) 079-3157,robert.vaughn@kvlcamps.org,Overnight,
Chad Hall,Shift Supervisor,Loon Hollow,(555) 039-5874,chad.hall@kvlcamps.org,Overnight,
Sarah King,Boating Instructor,Tamarack Ridge,(555) 068-4108,sarah.king@kvlcamps.org,Overnight,
