Camper ID,Last Name,First Name,Age,Unit,Session,Classification,Test Date,Test Location,Assessor,Band Color,Buddy Group,Prior Season Band,Notes
C26-0042,Frey,Amanda,11,Sumac,Session 1,Beginner,2026-06-24,Bluegill Point swim area,C. Yee,Yellow,B-22,Swimmer,
C26-0043,Hansen,Eric,7,Pine,Session 1,Nonswimmer,2026-06-23,Bluegill Point swim area,J. Kim,Red,B-48,,
C26-0044,Harris,Leroy,8,Pine,Session 1,Swimmer,2026-06-25,Bluegill Point swim area,D. Lammers,Green,B-80,,
C26-0045,Weber,Maureen,7,Fir,Session 1,Beginner,2026-06-26,Bluegill Point swim area,R. Wexler,Yellow,B-349,,
C26-0046,Reilly,Kenneth,11,Ash,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,J. Kim,Green,B-119,Swimmer,
C26-0047,Brown,Dennis,8,Ash,Session 1,Nonswimmer,2026-06-24,Bluegill Point swim area,R. Wexler,Red,B-233,,Accommodation on file.
C26-0048,Gillespie,Joseph,13,Oak,Session 1,Swimmer,2026-06-25,Bluegill Point swim area,A. Priestly,Green,B-157,,
C26-0049,Harrison,Tonya,14,Juniper,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,C. Yee,Green,B-295,,Accommodation on file.
C26-0050,Sanders,Brett,15,Ironwood,Session 1,Beginner,2026-06-25,Bluegill Point swim area,C. Yee,Yellow,B-144,Beginner,
C26-0051,Harrison,Veronica,6,Pine,Session 1,Beginner,2026-06-23,Bluegill Point swim area,D. Lammers,Yellow,B-225,,
C26-0052,Wilson,Joshua,8,Dogwood,Session 1,Swimmer,2026-06-23,Bluegill Point swim area,A. Priestly,Green,B-399,,
C26-0053,Curtis,David,9,Fir,Session 1,Nonswimmer,2026-06-22,Bluegill Point swim area,R. Wexler,Red,B-97,,
C26-0054,Reynolds,Samuel,7,Cedar,Session 1,Nonswimmer,2026-06-26,Bluegill Point swim area,C. Yee,Red,B-234,Nonswimmer,
C26-0055,Harris,Morgan,9,Maple,Session 1,Swimmer,2026-06-23,Bluegill Point swim area,D. Lammers,Green,B-188,,
C26-0056,Jimenez,Colleen,6,Sumac,Session 1,Beginner,2026-06-26,Bluegill Point swim area,C. Yee,Yellow,B-365,Swimmer,
C26-0057,Phillips,Brett,13,Willow,Session 1,Swimmer,2026-06-22,Bluegill Point swim area,A. Priestly,Green,B-277,,
C26-0058,Herrera,Joseph,8,Birch,Session 1,Swimmer,2026-06-22,Bluegill Point swim area,A. Priestly,Green,B-167,,
C26-0059,Kennedy,Nathan,10,Hemlock,Session 1,Beginner,2026-06-25,Bluegill Point swim area,J. Kim,Yellow,B-89,,
C26-0060,Rose,Matthew,9,Elm,Session 1,Nonswimmer,2026-06-25,Bluegill Point swim area,M. Deleva,Red,B-23,Swimmer,
C26-0061,White,Holly,14,Ash,Session 1,Swimmer,2026-06-24,Bluegill Point swim area,C. Yee,Green,B-18,,
C26-0062,Moore,James,8,Oak,Session 1,Beginner,2026-06-25,Bluegill Point swim area,A. Priestly,Yellow,B-56,Beginner,
C26-0063,Lewis,Danny,12,Glen,Session 2,Swimmer,2026-07-15,Bluegill Point swim area,J. Kim,Green,B-353,Swimmer,Retest passed 2026-07-24
C26-0064,Dean,James,10,Fir,Session 2,Beginner,2026-07-17,Bluegill Point swim area,M. Deleva,Yellow,B-211,,
C26-0065,Porter,Michael,14,Ash,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,J. Kim,Green,B-78,,
C26-0066,Ward,Nathan,14,Juniper,Session 2,Swimmer,2026-07-15,Bluegill Point swim area,M. Deleva,Green,B-124,Nonswimmer,
C26-0067,Graham,Ashley,11,Juniper,Session 2,Beginner,2026-07-15,Bluegill Point swim area,D. Lammers,Yellow,B-234,,
C26-0068,Bryant,Lawrence,15,Ironwood,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,D. Lammers,Green,B-297,Swimmer,
C26-0069,Bailey,Cynthia,9,Laurel,Session 2,Nonswimmer,2026-07-14,Bluegill Point swim area,A. Priestly,Red,B-375,Beginner,
C26-0070,Powell,Ashley,9,Glen,Session 2,Beginner,2026-07-14,Bluegill Point swim area,J. Kim,Yellow,B-297,,
C26-0071,Watson,Jacob,8,Fir,Session 2,Beginner,2026-07-16,Bluegill Point swim area,A. Priestly,Yellow,B-344,Swimmer,
C26-0072,Richardson,Lisa,8,Pine,Session 2,Swimmer,2026-07-15,Bluegill Point swim area,D. Lammers,Green,B-114,,
C26-0073,Wang,Daniel,13,Glen,Session 2,Beginner,2026-07-15,Bluegill Point swim area,A. Priestly,Yellow,B-31,Beginner,
C26-0074,Smith,Jeremy,13,Sumac,Session 2,Swimmer,2026-07-15,Bluegill Point swim area,R. Wexler,Green,B-322,,
C26-0075,Dixon,Brady,9,Fir,Session 2,Beginner,2026-07-14,Bluegill Point swim area,A. Priestly,Yellow,B-221,Beginner,
C26-0076,Wilkerson,Jason,15,Fir,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,D. Lammers,Green,B-103,Swimmer,
C26-0077,Ramos,Daniel,10,Laurel,Session 2,Nonswimmer,2026-07-14,Bluegill Point swim area,R. Wexler,Red,B-140,Nonswimmer,
C26-0078,Calhoun,Brandon,14,Fir,Session 2,Nonswimmer,2026-07-15,Bluegill Point swim area,J. Kim,Red,B-54,Swimmer,
C26-0079,Mclean,Alicia,8,Birch,Session 2,Swimmer,2026-07-15,Bluegill Point swim area,R. Wexler,Green,B-130,,
C26-0080,Chen,James,8,Laurel,Session 2,Beginner,2026-07-16,Bluegill Point swim area,J. Kim,Yellow,B-193,Swimmer,
C26-0081,Peterson,Marcus,7,Elm,Session 2,Swimmer,2026-07-14,Bluegill Point swim area,D. Lammers,Green,B-138,,
C26-0082,Robertson,Victoria,15,Laurel,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,R. Wexler,Green,B-97,Beginner,
C26-0083,Mccoy,Diana,14,Fir,Session 2,Nonswimmer,2026-07-15,Bluegill Point swim area,C. Yee,Red,B-228,,
C26-0084,Thomas,John,9,Elm,Session 2,Swimmer,2026-07-16,Bluegill Point swim area,R. Wexler,Green,B-281,Beginner,
C26-0085,Curry,Monica,10,Elm,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,A. Priestly,Green,B-252,Swimmer,
C26-0086,Lowery,Kathryn,12,Elm,Session 2,Nonswimmer,2026-07-15,Bluegill Point swim area,D. Lammers,Red,B-28,Beginner,
C26-0087,Scott,Karen,10,Dogwood,Session 2,Beginner,2026-07-16,Bluegill Point swim area,J. Kim,Yellow,B-283,,
C26-0088,Bishop,Megan,7,Juniper,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,D. Lammers,Green,B-347,,
C26-0089,Moore,Morgan,12,Hemlock,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,J. Kim,Green,B-230,,
C26-0090,Cowan,Michele,14,Pine,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,M. Deleva,Green,B-368,Beginner,
C26-0091,Nguyen,Mark,6,Ironwood,Session 2,Swimmer,2026-07-16,Bluegill Point swim area,D. Lammers,Green,B-2,Nonswimmer,
C26-0092,Singleton,John,7,Dogwood,Session 2,Nonswimmer,2026-07-17,Bluegill Point swim area,J. Kim,Red,B-213,,Retest passed 2026-08-01
C26-0093,Valencia,Michelle,7,Fir,Session 2,Beginner,2026-07-17,Bluegill Point swim area,A. Priestly,Yellow,B-354,Nonswimmer,
C26-0094,Walker,John,6,Hemlock,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,A. Priestly,Green,B-329,,
C26-0095,Ross,Billy,11,Maple,Session 2,Nonswimmer,2026-07-13,Bluegill Point swim area,C. Yee,Red,B-100,,
C26-0096,Garner,Anthony,12,Oak,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,C. Yee,Green,B-293,,
C26-0097,Roman,Nathan,12,Glen,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,J. Kim,Green,B-87,Swimmer,
C26-0098,Houston,Lisa,14,Ash,Session 2,Beginner,2026-07-15,Bluegill Point swim area,A. Priestly,Yellow,B-24,,
C26-0099,Taylor,Wyatt,6,Pine,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,R. Wexler,Green,B-210,Swimmer,
C26-0100,Miller,Carol,8,Elm,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,A. Priestly,Green,B-143,,
C26-0101,Robbins,Susan,12,Laurel,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,A. Priestly,Green,B-42,Nonswimmer,
C26-0102,Jones,Tyler,13,Juniper,Session 2,Swimmer,2026-07-16,Bluegill Point swim area,A. Priestly,Green,B-180,Beginner,
C26-0103,Harris,Beth,15,Birch,Session 2,Beginner,2026-07-17,Bluegill Point swim area,R. Wexler,Yellow,B-155,Swimmer,
C26-0104,Chavez,Tanner,7,Fir,Session 2,Beginner,2026-07-14,Bluegill Point swim area,M. Deleva,Yellow,B-51,Swimmer,
C26-0105,Dennis,Melissa,15,Hemlock,Session 2,Beginner,2026-07-16,Bluegill Point swim area,D. Lammers,Yellow,B-299,,
C26-0106,Aguirre,Matthew,14,Fir,Session 2,Swimmer,2026-07-14,Bluegill Point swim area,D. Lammers,Green,B-202,Swimmer,
C26-0107,Lopez,Chelsea,12,Oak,Session 2,Nonswimmer,2026-07-16,Bluegill Point swim area,M. Deleva,Red,B-184,Nonswimmer,
C26-0108,Carlson,Justin,15,Oak,Session 2,Beginner,2026-07-14,Bluegill Point swim area,C. Yee,Yellow,B-364,Beginner,Accommodation on file.
C26-0109,Nelson,Mariah,15,Cedar,Session 2,Beginner,2026-07-16,Bluegill Point swim area,A. Priestly,Yellow,B-385,Swimmer,
C26-0110,Long,Richard,10,Sumac,Session 2,Swimmer,2026-07-16,Bluegill Point swim area,J. Kim,Green,B-274,,
C26-0111,Lopez,Brandon,15,Glen,Session 2,Swimmer,2026-07-17,Bluegill Point swim area,J. Kim,Green,B-188,,
C26-0112,Molina,Sean,12,Glen,Session 2,Swimmer,2026-07-16,Bluegill Point swim area,A. Priestly,Green,B-368,Swimmer,
C26-0113,Evans,Michael,7,Hemlock,Session 2,Beginner,2026-07-17,Bluegill Point swim area,R. Wexler,Yellow,B-174,,
C26-0114,Gutierrez,Charles,10,Pine,Session 2,Nonswimmer,2026-07-14,Bluegill Point swim area,R. Wexler,Red,B-250,,
C26-0115,Rhodes,Nicole,6,Laurel,Session 2,Swimmer,2026-07-13,Bluegill Point swim area,A. Priestly,Green,B-339,,Accommodation on file.
C26-0116,Cook,Kimberly,7,Elm,Session 2,Beginner,2026-07-13,Bluegill Point swim area,C. Yee,Yellow,B-86,Swimmer,
C26-0117,Parks,Robert,8,Glen,Session 2,Nonswimmer,2026-07-17,Bluegill Point swim area,R. Wexler,Red,B-202,,
C26-0118,Ruiz,Mary,13,Dogwood,Session 2,Beginner,2026-07-15,Bluegill Point swim area,C. Yee,Yellow,B-330,,
C26-0119,Campbell,Jeffrey,10,Maple,Session 2,Swimmer,2026-07-14,Bluegill Point swim area,C. Yee,Green,B-47,Nonswimmer,
C26-0120,Torres,Michele,10,Cedar,Session 2,Beginner,2026-07-14,Bluegill Point swim area,M. Deleva,Yellow,B-336,,
C26-0121,Mccormick,Denise,9,Ironwood,Session 2,Swimmer,2026-07-16,Bluegill Point swim area,R. Wexler,Green,B-151,Swimmer,
C26-0122,Hunt,Randy,11,Fir,Session 2,Nonswimmer,2026-07-13,Bluegill Point swim area,R. Wexler,Red,B-105,,
C26-0123,Wheeler,Thomas,6,Maple,Session 2,Swimmer,2026-07-15,Bluegill Point swim area,J. Kim,Green,B-153,Nonswimmer,
C26-0124,Rodriguez,Melanie,7,Maple,Session 2,Beginner,2026-07-16,Bluegill Point swim area,C. Yee,Yellow,B-104,Swimmer,
C26-0125,Gray,Alyssa,11,Dogwood,Session 2,Beginner,2026-07-16,Bluegill Point swim area,J. Kim,Yellow,B-169,Beginner,Accommodation on file.
C26-0126,Booth,Patrick,7,Hemlock,Session 2,Nonswimmer,2026-07-13,Bluegill Point swim area,J. Kim,Red,B-246,Beginner,
C26-0127,Miller,William,11,Elm,Session 3,Swimmer,2026-08-06,Bluegill Point swim area,A. Priestly,Green,B-309,Beginner,
C26-0128,Perez,Jonathan,9,Maple,Session 3,Swimmer,2026-08-07,Bluegill Point swim area,D. Lammers,Green,B-113,Swimmer,
C26-0129,Ray,Sarah,9,Ironwood,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,R. Wexler,Green,B-109,Nonswimmer,
C26-0130,Aguirre,Joseph,9,Ironwood,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,A. Priestly,Green,B-382,,
C26-0131,Williams,Louis,11,Glen,Session 3,Beginner,2026-08-06,Bluegill Point swim area,A. Priestly,Yellow,B-183,Swimmer,
C26-0132,Watson,Gregory,15,Willow,Session 3,Beginner,2026-08-03,Bluegill Point swim area,D. Lammers,Yellow,B-3,,
C26-0133,Williams,Cynthia,10,Ironwood,Session 3,Nonswimmer,2026-08-04,Bluegill Point swim area,M. Deleva,Red,B-178,,
C26-0134,Bailey,Kathleen,11,Cedar,Session 3,Beginner,2026-08-03,Bluegill Point swim area,M. Deleva,Yellow,B-92,Beginner,
C26-0135,Cabrera,Jennifer,13,Cedar,Session 3,Beginner,2026-08-06,Bluegill Point swim area,M. Deleva,Yellow,B-141,Beginner,
C26-0136,Williams,Laura,8,Ash,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,J. Kim,Green,B-331,Nonswimmer,
C26-0137,Hernandez,Christopher,10,Maple,Session 3,Swimmer,2026-08-06,Bluegill Point swim area,R. Wexler,Green,B-249,Swimmer,
C26-0138,Wallace,Charlotte,11,Pine,Session 3,Swimmer,2026-08-05,Bluegill Point swim area,D. Lammers,Green,B-197,,
C26-0139,Carpenter,Jacob,8,Glen,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,D. Lammers,Green,B-323,,
C26-0140,Thompson,Casey,10,Ironwood,Session 3,Beginner,2026-08-04,Bluegill Point swim area,M. Deleva,Yellow,B-247,Beginner,
C26-0141,Lawson,Zachary,8,Cedar,Session 3,Beginner,2026-08-07,Bluegill Point swim area,J. Kim,Yellow,B-203,Nonswimmer,
C26-0142,Mitchell,Jessica,12,Maple,Session 3,Swimmer,2026-08-07,Bluegill Point swim area,J. Kim,Green,B-400,Swimmer,
C26-0143,Huang,Kelly,9,Elm,Session 3,Swimmer,2026-08-05,Bluegill Point swim area,A. Priestly,Green,B-289,,
C26-0144,Newman,Edgar,10,Hemlock,Session 3,Beginner,2026-08-07,Bluegill Point swim area,J. Kim,Yellow,B-137,,
C26-0145,Hill,Caitlin,14,Willow,Session 3,Nonswimmer,2026-08-06,Bluegill Point swim area,M. Deleva,Red,B-283,,
C26-0146,Campbell,Sarah,9,Juniper,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,R. Wexler,Green,B-309,Swimmer,
C26-0147,Malone,Olivia,6,Willow,Session 3,Beginner,2026-08-04,Bluegill Point swim area,C. Yee,Yellow,B-194,Nonswimmer,
C26-0148,Thompson,Joshua,6,Willow,Session 3,Beginner,2026-08-04,Bluegill Point swim area,A. Priestly,Yellow,B-287,Swimmer,
C26-0149,Ward,Alan,14,Glen,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,A. Priestly,Green,B-399,Nonswimmer,
C26-0150,Mccoy,Linda,13,Elm,Session 3,Nonswimmer,2026-08-07,Bluegill Point swim area,D. Lammers,Red,B-195,Nonswimmer,
C26-0151,Stokes,Michael,15,Hemlock,Session 3,Swimmer,2026-08-05,Bluegill Point swim area,D. Lammers,Green,B-268,Swimmer,
C26-0152,Walls,John,15,Elm,Session 3,Beginner,2026-08-05,Bluegill Point swim area,A. Priestly,Yellow,B-114,Nonswimmer,
C26-0153,Malone,Theresa,7,Ash,Session 3,Beginner,2026-08-04,Bluegill Point swim area,M. Deleva,Yellow,B-296,Beginner,
C26-0154,Smith,Jennifer,6,Hemlock,Session 3,Swimmer,2026-08-07,Bluegill Point swim area,J. Kim,Green,B-195,Beginner,
C26-0155,Rasmussen,Jeff,13,Maple,Session 3,Beginner,2026-08-04,Bluegill Point swim area,J. Kim,Yellow,B-256,,
C26-0156,Wilkins,Brandi,6,Dogwood,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,D. Lammers,Green,B-76,Beginner,
C26-0157,Welch,Alicia,11,Sumac,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,A. Priestly,Green,B-329,,
C26-0158,Matthews,Jeffrey,13,Fir,Session 3,Swimmer,2026-08-05,Bluegill Point swim area,J. Kim,Green,B-246,,
C26-0159,Torres,Alicia,8,Cedar,Session 3,Beginner,2026-08-06,Bluegill Point swim area,A. Priestly,Yellow,B-214,,
C26-0160,Mills,Jacqueline,6,Juniper,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,M. Deleva,Green,B-95,,
C26-0161,Jones,Pamela,14,Oak,Session 3,Beginner,2026-08-07,Bluegill Point swim area,D. Lammers,Yellow,B-45,Swimmer,
C26-0162,Meyer,Jennifer,13,Sumac,Session 3,Nonswimmer,2026-08-06,Bluegill Point swim area,D. Lammers,Red,B-75,Beginner,
C26-0163,Ali,Sarah,9,Glen,Session 3,Nonswimmer,2026-08-06,Bluegill Point swim area,M. Deleva,Red,B-163,Swimmer,
C26-0164,Nichols,Robert,11,Birch,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,A. Priestly,Green,B-325,Swimmer,
C26-0165,Barton,Jeremy,12,Hemlock,Session 3,Beginner,2026-08-07,Bluegill Point swim area,R. Wexler,Yellow,B-42,Nonswimmer,
C26-0166,Hansen,Sarah,9,Glen,Session 3,Swimmer,2026-08-06,Bluegill Point swim area,J. Kim,Green,B-218,,
C26-0167,Roberson,Jose,11,Hemlock,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,R. Wexler,Green,B-252,,
C26-0168,Patrick,Christopher,12,Ash,Session 3,Beginner,2026-08-03,Bluegill Point swim area,R. Wexler,Yellow,B-71,Beginner,
C26-0169,Price,Victor,13,Ironwood,Session 3,Swimmer,2026-08-06,Bluegill Point swim area,C. Yee,Green,B-205,Nonswimmer,
C26-0170,Garrison,Amber,15,Glen,Session 3,Swimmer,2026-08-06,Bluegill Point swim area,R. Wexler,Green,B-139,,Retest passed 2026-08-17
C26-0171,Moody,Troy,15,Sumac,Session 3,Beginner,2026-08-07,Bluegill Point swim area,J. Kim,Yellow,B-135,Beginner,
C26-0172,Stanley,Michael,11,Fir,Session 3,Swimmer,2026-08-03,Bluegill Point swim area,D. Lammers,Green,B-131,Nonswimmer,
C26-0173,Jones,Tyler,13,Ironwood,Session 3,Beginner,2026-08-04,Bluegill Point swim area,D. Lammers,Yellow,B-32,,
C26-0174,Spencer,Wayne,13,Fir,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,R. Wexler,Green,B-212,,
C26-0175,Harper,Jeffrey,10,Dogwood,Session 3,Beginner,2026-08-03,Bluegill Point swim area,J. Kim,Yellow,B-89,Nonswimmer,
C26-0176,Mckinney,Andrew,6,Cedar,Session 3,Beginner,2026-08-05,Bluegill Point swim area,A. Priestly,Yellow,B-102,Swimmer,
C26-0177,Howard,Nicole,14,Juniper,Session 3,Swimmer,2026-08-04,Bluegill Point swim area,D. Lammers,Green,B-155,Beginner,
C26-0178,Jones,Connie,6,Ash,Session 3,Beginner,2026-08-07,Bluegill Point swim area,J. Kim,Yellow,B-367,Nonswimmer,
C26-0179,Underwood,Gina,9,Glen,Session 3,Nonswimmer,2026-08-06,Bluegill Point swim area,R. Wexler,Red,B-136,Nonswimmer,
C26-0180,Mcdaniel,Keith,6,Cedar,Session 3,Nonswimmer,2026-08-03,Bluegill Point swim area,A. Priestly,Red,B-138,Beginner,
,,,,,,,,,,,,,Assessments administered by waterfront instructional staff under the supervision of the undersigned.
,,,,,,,,,,,,,"Certified by: Alicia Mora, Waterfront Director"
,,,,,,,,,,,,,"Credential on file: LG-WF - Waterfront Skills Lifeguarding (American Red Cross), issued 04/02/2025, expires 04/02/2027"
,,,,,,,,,,,,,Signature: /s/ A. Director        Date signed: 2026-06-26
